DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Sep-25,EQ,"1,930.20","1,976.80","1,927.80","1,941.10","1,959.90","1,962.40","1,954.25","2,045.80","1,511.00",11287603,"22,05,88,14,337.50",152101
18-Sep-25,EQ,"1,944.50","1,949.80","1,920.50","1,941.30","1,938.10","1,941.10","1,937.97","2,045.80","1,511.00",5080814,"9,84,64,43,250.20",194124
17-Sep-25,EQ,"1,938.10","1,950.10","1,932.60","1,939.50","1,940.50","1,941.30","1,943.07","2,045.80","1,511.00",4234637,"8,22,82,11,139.50",137019
16-Sep-25,EQ,"1,903.30","1,942.00","1,902.50","1,904.50","1,942.00","1,939.50","1,929.77","2,045.80","1,511.00",5427586,"10,47,39,75,256.40",121211
15-Sep-25,EQ,"1,904.00","1,913.00","1,898.40","1,902.60","1,907.40","1,904.50","1,904.17","2,045.80","1,511.00",3553258,"6,76,60,07,905.00",132537
12-Sep-25,EQ,"1,925.00","1,925.00","1,901.60","1,913.00","1,903.70","1,902.60","1,911.24","2,045.80","1,511.00",3192824,"6,10,22,58,824.10",93480
11-Sep-25,EQ,"1,884.00","1,916.00","1,882.10","1,891.40","1,914.20","1,913.00","1,903.70","2,045.80","1,511.00",4718266,"8,98,21,64,743.10",146936
10-Sep-25,EQ,"1,904.00","1,905.00","1,883.00","1,893.70","1,893.90","1,891.40","1,892.22","2,045.80","1,511.00",3566139,"6,74,79,22,521.40",132980
09-Sep-25,EQ,"1,892.00","1,904.00","1,883.00","1,887.70","1,893.00","1,893.70","1,893.29","2,045.80","1,511.00",4517793,"8,55,34,98,311.20",135596
08-Sep-25,EQ,"1,898.00","1,899.00","1,884.10","1,895.30","1,886.00","1,887.70","1,890.94","2,045.80","1,511.00",2547552,"4,81,72,59,823.50",97251
05-Sep-25,EQ,"1,887.00","1,910.70","1,875.70","1,880.40","1,894.00","1,895.30","1,893.40","2,045.80","1,511.00",2620140,"4,96,09,71,727.30",87681
04-Sep-25,EQ,"1,899.00","1,903.50","1,876.60","1,883.90","1,879.80","1,880.40","1,883.68","2,045.80","1,511.00",5205333,"9,80,52,02,617.50",142962
03-Sep-25,EQ,"1,891.00","1,892.10","1,870.00","1,887.20","1,882.80","1,883.90","1,880.41","2,045.80","1,511.00",3803044,"7,15,12,67,254.50",179727
02-Sep-25,EQ,"1,904.50","1,917.50","1,878.00","1,900.60","1,888.70","1,887.20","1,894.19","2,045.80","1,511.00",4423049,"8,37,80,97,503.20",168727
01-Sep-25,EQ,"1,889.00","1,904.80","1,884.20","1,888.80","1,900.50","1,900.60","1,896.74","2,045.80","1,511.00",3421488,"6,48,96,78,664.80",174084
29-Aug-25,EQ,"1,872.50","1,900.10","1,872.50","1,881.10","1,888.20","1,888.80","1,887.35","2,045.80","1,502.00",4339042,"8,18,93,12,163.60",137051
28-Aug-25,EQ,"1,893.00","1,899.80","1,878.20","1,904.70","1,888.00","1,881.10","1,887.96","2,045.80","1,502.00",5494113,"10,37,26,70,054.70",192234
26-Aug-25,EQ,"1,922.10","1,925.80","1,896.20","1,930.70","1,903.70","1,904.70","1,907.89","2,045.80","1,502.00",5984656,"11,41,80,74,402.10",171371
25-Aug-25,EQ,"1,940.00","1,940.10","1,913.20","1,933.30","1,928.90","1,930.70","1,927.45","2,045.80","1,502.00",2451388,"4,72,49,17,353.10",88027
22-Aug-25,EQ,"1,934.00","1,947.70","1,917.40","1,929.90","1,933.00","1,933.30","1,931.22","2,045.80","1,446.50",3271920,"6,31,87,96,024.80",112848
21-Aug-25,EQ,"1,930.00","1,940.90","1,927.70","1,928.40","1,930.10","1,929.90","1,932.63","2,045.80","1,446.50",3376913,"6,52,63,15,351.10",122995
20-Aug-25,EQ,"1,937.00","1,952.00","1,926.00","1,909.70","1,930.00","1,928.40","1,935.01","2,045.80","1,446.50",6962619,"13,47,27,15,684.80",158774
19-Aug-25,EQ,"1,901.10","1,931.80","1,900.00","1,892.30","1,912.90","1,909.70","1,916.53","2,045.80","1,446.50",5706265,"10,93,62,27,739.10",206298
18-Aug-25,EQ,"1,892.50","1,912.60","1,870.30","1,873.80","1,892.90","1,892.30","1,896.44","2,045.80","1,446.50",7146376,"13,55,26,63,053.70",168732
14-Aug-25,EQ,"1,873.00","1,883.00","1,866.80","1,867.40","1,871.00","1,873.80","1,875.27","2,045.80","1,445.00",3958631,"7,42,35,16,081.00",94415
13-Aug-25,EQ,"1,853.00","1,872.50","1,851.80","1,850.30","1,870.90","1,867.40","1,864.40","2,045.80","1,445.00",6697206,"12,48,62,97,813.40",156856
